speaker,text,wordCount,wordNumber,start,end,lemmata
Οἰδίπους,τούτων ἀκοῦσαι βούλομαι μέγιστα γάρ,5,2804,2799,2804,οὗτος ἀκούω βούλομαι μέγας γάρ
Χορός,ὥς σφας καλοῦμεν Εὐμενίδας ἐξ εὐμενῶν στέρνων δέχεσθαι τὸν ἱκέτην σωτήριον αἰτοῦ σύ τ᾽ αὐτὸς κεἴ τις ἄλλος ἀντὶ σοῦ ἄπυστα φωνῶν μηδὲ μηκύνων βοήν ἔπειτ᾽ ἀφέρπειν ἄστροφος καὶ ταῦτά σοι δράσαντι θαρσῶν ἂν παρασταίην ἐγώ ἄλλως δὲ δειμαίνοιμ᾽ ἄν ὦ ξέν᾽ ἀμφὶ σοι,44,2848,2804,2848,ὡς σφεῖς καλέω Εὐμενίδας ἐκ εὐμενής στέρνον δέχομαι ὁ ἱκέτης σωτήριος αἰτέω σύ τ ̓ αὐτός εἰ τις ἄλλος ἀντί σύ ἄπυστος φωνέω μηδέ μηκύνω βοή ἔπειτ ̓ ἀφέρπω ἄστροφος καί οὗτος σύ δράω θαρσέω ἄν παρίστημι ἐγώ ἄλλως δέ δειμαίνοιμ ̓ ἀνά ὦ ξέν ̓ ἀμφί σύ
Οἰδίπους,ὦ παῖδε κλύετον τῶνδε προσχώρων ξένων,6,2854,2848,2854,ὦ παῖς κλύω ὅδε πρόσχωρος ξένος
Ἀντιγόνη,ἠκούσαμέν τε χὤ τι δεῖ πρόστασσε δρᾶν,7,2861,2854,2861,ἠκούσαμέν τε ὅς τις δεῖ προστάσσω δράω
Οἰδίπους,ἐμοὶ μὲν οὐχ ὁδωτά λείπομαι γὰρ ἐν τῷ μὴ δύνασθαι μήδ᾽ ὁρᾶν δυοῖν κακοῖν σφῷν δ᾽ ἁτέρα μολοῦσα πραξάτω τάδε ἀρκεῖν γὰρ οἶμαι κἀντὶ μυρίων μίαν ψυχὴν τάδ᾽ ἐκτίνουσαν ἢν εὔνους παρῇ ἀλλ᾽ ἐν τάχει τι πράσσετον μόνον δέ με μὴ λείπετ᾽ οὐ γὰρ ἂν σθένοι τοὐμὸν δέμας ἔρημον ἕρπειν οὐδ᾽ ὑφηγητοῦ δίχα,53,2914,2861,2914,ἐγώ μέν οὐ ὁδωτός λείπω γάρ ἐν ὁ μή δύναμαι μήδ ̓ ὁράω δύο κακός σύ δ ̓ ἅτερος βλώσκω πράσσω ὅδε ἀρκέω γάρ οἴομαι κἀντὶ μυρίος εἷς ψυχή τάδ ̓ ἐκτίνω ἐάν εὔνους πάρειμι ἀλλ ̓ ἐν τάχος τις πράσσω μόνος δέ ἐγώ μή λείπετ ̓ οὐ γάρ ἄν σθένω ἐμός δέμας ἐρῆμος ἕρπω οὐδ ̓ ὑφηγητής δίχα
Ἰσμήνη,ἀλλ᾽ εἶμ᾽ ἐγὼ τελοῦσα τὸν τόπον δ᾽ ἵνα χρῆσταί μ᾽ ἐφευρεῖν τοῦτο βούλομαι μαθεῖν,14,2928,2914,2928,ἀλλ ̓ εἶμ ̓ ἐγώ τελέω ὁ τόπος δ ̓ ἵνα χρῆσταί μ ̓ ἐφευρίσκω οὗτος βούλομαι μανθάνω
Χορός,τοὐκεῖθεν ἄλσους ὦ ξένη τοῦδ᾽ ἢν δέ του σπάνιν τιν᾽ ἴσχῃς ἔστ᾽ ἔποικος ὃς φράσει,15,2943,2928,2943,ἐκεῖθεν ἄλσος ὦ ξένη τοῦδ ̓ ἐάν δέ τις σπάνις τιν ̓ ἴσχω ἔστ ̓ ἔποικος ὅς φράζω
Ἰσμήνη,χωροῖμ᾽ ἂν ἐς τόδ᾽ Ἀντιγόνη σὺ δ᾽ ἐνθάδε φύλασσε πατέρα τόνδε τοῖς τεκοῦσι γὰρ οὐδ᾽ εἰ πονεῖ τις δεῖ πόνου μνήμην ἔχειν,22,2965,2943,2965,χωροῖμ ̓ ἄν εἰς τόδ ̓ Ἀντιγόνη σύ δ ̓ ἐνθάδε φυλάσσω πατήρ ὅδε ὁ τίκτω γάρ οὐδ ̓ εἰ πονέω τις δεῖ πόνος μνήμη ἔχω
Χορός,δεινὸν μὲν τὸ πάλαι κείμενον ἤδη κακόν ὦ ξεῖν᾽ ἐπεγείρειν ὅμως δ᾽ ἔραμαι πυθέσθαι,14,2979,2965,2979,δεινός μέν ὁ πάλαι κεῖμαι ἤδη κακός ὦ ξεῖν ̓ ἐπεγείρω ὅμως δ ̓ ἔραμαι πυνθάνομαι
Οἰδίπους,τί τοῦτο,2,2981,2979,2981,τίς οὗτος
Χορός,τᾶς δειλαίας ἀπόρου φανείσας ἀλγηδόνος ᾇ ξυνέστας,7,2988,2981,2988,ὁ δείλαιος ἄπορος φαίνω ἀλγηδών ὅς συνίστημι
Οἰδίπους,μὴ πρὸς ξενίας ἀνοίξῃς τᾶς σᾶς ἃ πέπονθ᾽ ἀναιδῆ,9,2997,2988,2997,μή πρός ξένιος ἀνοίγνυμι ὁ σός ὅς πέπονθ ̓ ἀναιδής
Χορός,τό τοι πολὺ καὶ μηδαμὰ λῆγον χρῄζω ξεῖν᾽ ὀρθὸν ἄκουσμ᾽ ἀκοῦσαι,11,3008,2997,3008,ὁ σύ πολύς καί μηδαμός λήγω χρῄζω ξεῖν ̓ ὀρθός ἄκουσμ ̓ ἀκούω
Χορός,στέρξον ἱκετεύω,2,3010,3008,3010,στέργω ἱκετεύω
Οἰδίπους,φεῦ φεῦ,2,3012,3010,3012,φεῦ φεῦ
Χορός,πείθου κἀγὼ γὰρ ὅσον σὺ προσχρῄζεις,6,3018,3012,3018,πείθω ἐγώ γάρ ὅσος σύ προσχρήιζω
Οἰδίπους,ἤνεγκ᾽ οὖν κακότατ᾽ ὦ ξένοι ἤνεγκ᾽ ἀέκων μέν θεὸς ἴστω τούτων δ᾽ αὐθαίρετον οὐδέν,14,3032,3018,3032,ἤνεγκ ̓ οὖν κακότατ ̓ ὦ ξένος ἤνεγκ ̓ ἀέκων μέν θεός οἶδα οὗτος δ ̓ αὐθαίρετος οὐδείς
Χορός,ἀλλ᾽ ἐς τί,3,3035,3032,3035,ἀλλ ̓ εἰς τίς
Οἰδίπους,κακᾷ μ᾽ εὐνᾷ πόλις οὐδὲν ἴδριν γάμων ἐνέδησεν ἄτᾳ,9,3044,3035,3044,κακός μ ̓ εὐνάζω πόλις οὐδείς ἴδρις γάμος ἐνδέω ἄτη
Χορός,ἦ ματρόθεν ὡς ἀκούω δυσώνυμα λέκτρ᾽ ἐπλήσω,7,3051,3044,3051,εἰμί μητρόθεν ὡς ἀκούω δυσώνυμος λέκτρ ̓ πίμπλημι
Οἰδίπους,ὤμοι θάνατος μὲν τάδ᾽ ἀκούειν ὦ ξεῖν᾽ αὗται δὲ δύ᾽ ἐξ ἐμοῦ μὲν,13,3064,3051,3064,ὤμοι θάνατος μέν τάδ ̓ ἀκούω ὦ ξεῖν ̓ οὗτος δέ δύ ̓ ἐκ ἐγώ μέν
Χορός,πῶς φῄς,2,3066,3064,3066,πῶς φημί
Οἰδίπους,παῖδε δύο δ᾽ ἄτα,4,3070,3066,3070,παῖς δύο δ ̓ ἄτη
Χορός,ὦ Ζεῦ,2,3072,3070,3072,ὦ Ζεύς
Οἰδίπους,ματρὸς κοινᾶς ἀπέβλαστον ὠδῖνος,4,3076,3072,3076,μήτηρ κοινόω ἀποβλαστάνω ὠδίς
Χορός,σαί τ᾽ εἴσ᾽ ἄρ᾽ ἀπόγονοί τε καὶ,7,3083,3076,3083,σός τ ̓ εἴσ ̓ ἄρ ̓ ἀπόγονοί τε καί
Οἰδίπους,κοιναί γε πατρὸς ἀδελφεαί,4,3087,3083,3087,κοινός γε πατήρ ἀδελφή
Οἰδίπους,ἰὼ δῆτα μυρίων γ᾽ ἐπιστροφαὶ κακῶν,6,3093,3087,3093,ἰώ δῆτα μυρίος γ ̓ ἐπιστροφαὶ κακός
Οἰδίπους,ἔπαθον ἄλαστ᾽ ἔχειν,3,3096,3093,3096,πάσχω ἄλαστ ̓ ἔχω
Οἰδίπους,οὐκ ἔρεξα,2,3098,3096,3098,οὐ ῥέζω
Χορός,τί γάρ,2,3100,3098,3100,τίς γάρ
Οἰδίπους,ἐδεξάμην δῶρον ὃ μήποτ᾽ ἐγὼ ταλακάρδιος ἐπωφέλησας πόλεος ἐξελέσθαι,9,3109,3100,3109,δέχομαι δῶρον ὁ μήποτ ̓ ἐγώ ταλακάρδιος ἐπωφέλησας πόλις ἐξαιρέω
Χορός,δύστανε τί γάρ ἔθου φόνον,5,3114,3109,3114,δύστηνος τίς γάρ τίθημι φόνος
Οἰδίπους,τί τοῦτο τί δ᾽ ἐθέλεις μαθεῖν,6,3120,3114,3120,τίς οὗτος τίς δ ̓ ἐθέλω μανθάνω
Οἰδίπους,παπαῖ δευτέραν ἔπαισας ἐπὶ νόσῳ νόσον,6,3126,3120,3126,παπαῖ δεύτερος παίω ἐπί νόσος νόσος
Οἰδίπους,ἔκανον ἔχει δέ μοι,4,3130,3126,3130,καίνω ἔχω δέ ἐγώ
Χορός,τί τοῦτο,2,3132,3130,3132,τίς οὗτος
Οἰδίπους,πρὸς δίκας τι,3,3135,3132,3135,πρός δίκη τις
Χορός,τί γάρ,2,3137,3135,3137,τίς γάρ
Οἰδίπους,ἐγὼ φράσω καὶ γὰρ ἄν οὓς ἐφόνευσ᾽ ἔμ᾽ ἀπώλεσαν νόμῳ δὲ καθαρός ἄϊδρις εἰς τόδ᾽ ἦλθον,16,3153,3137,3153,ἐγώ φράζω καί γάρ ἀνά ὅς ἐφόνευσ ̓ ἔμ ̓ ἀπόλλυμι νόμος δέ καθαρός ἄιδρις εἰς τόδ ̓ ἔρχομαι
Χορός,καὶ μὴν ἄναξ ὅδ᾽ ἡμὶν Αἰγέως γόνος Θησεὺς κατ᾽ ὀμφὴν σὴν ἐφ᾽ ἁστάλη πάρα,14,3167,3153,3167,καί μήν ἄναξ ὅδ ̓ ἐγώ Αἰγέως γόνος Θησεύς κατ ̓ ὀμφὴν σός ἐφ ̓ ἁστάλη παρά
Θησεύς,πολλῶν ἀκούων ἔν τε τῷ πάρος χρόνῳ τὰς αἱματηρὰς ὀμμάτων διαφθορὰς ἔγνωκά σ᾽ ὦ παῖ Λαΐου τανῦν θ᾽ ὁδοῖς ἐν ταῖσδ᾽ ἀκούων μᾶλλον ἐξεπίσταμαι σκευή τε γάρ σε καὶ τὸ δύστηνον κάρα δηλοῦτον ἡμῖν ὄνθ᾽ ὃς εἶ καί σ᾽ οἰκτίσας θέλω περέσθαι δύσμορ᾽ Οἰδίπους τίνα πόλεως ἐπέστης προστροπὴν ἐμοῦ τ᾽ ἔχων αὐτός τε χἠ σὴ δύσμορος παραστάτις δίδασκε δεινὴν γάρ τιν᾽ ἂν πρᾶξιν τύχοις λέξας ὁποίας ἐξαφισταίμην ἐγώ ὃς οἶδα καὐτὸς ὡς ἐπαιδεύθην ξένος ὥσπερ σύ χὢς εἷς πλεῖστ᾽ ἀνὴρ ἐπὶ ξένης ἤθλησα κινδυνεύματ᾽ ἐν τὠμῷ κάρᾳ ὥστε ξένον γ᾽ ἂν οὐδέν᾽ ὄνθ᾽ ὥσπερ σὺ νῦν ὑπεκτραποίμην μὴ οὐ συνεκσῴζειν ἐπεὶ ἔξοιδ᾽ ἀνὴρ ὢν χὤτι τῆς εἰς αὔριον οὐδὲν πλέον μοι σοῦ μέτεστιν ἡμέρας,114,3281,3167,3281,πολύς ἀκούω ἐν τε ὁ πάρος χρόνος ὁ αἱματηρός ὄμμα διαφθορὰς ἔγνωκά σ ̓ ὦ παῖς Λάιος τανῦν θ ̓ ὁδός ἐν ταῖσδ ̓ ἀκούω μᾶλλον ἐξεπίσταμαι σκευή τε γάρ σύ καί ὁ δύστηνος κάρα δηλόω ἐγώ ὄνθ ̓ ὅς εἶμι καί σ ̓ οἰκτίζω ἐθέλω περέσθαι δύσμορ ̓ Οἰδίπους τίς πόλις ἐφίστημι προστροπὴν ἐγώ τ ̓ ἔχω αὐτός τε ὁ σός δύσμορος παραστάτις διδάσκω δεινός γάρ τιν ̓ ἄν πρᾶξις τυγχάνω λέγω ὁποῖος ἐξαφίσταμαι ἐγώ ὅς οἶδα αὐτός ὡς παιδεύω ξένος ὥσπερ σύ χὢς εἷς πλεῖστ ̓ ἀνήρ ἐπί ξένος ἀθλέω κινδυνεύματ ̓ ἐν ἐμός κάρα ὥστε ξένος γ ̓ ἄν οὐδέν ̓ ὄνθ ̓ ὥσπερ σύ νῦν ὑπεκτρέπω μή οὐ συνεκσώζω ἐπεί ἔξοιδ ̓ ἀνήρ εἰμί ὅστις ὁ εἰς αὔριον οὐδείς πλείων ἐγώ σύ μέτειμι ἡμέρα
Οἰδίπους,Θησεῦ τὸ σὸν γενναῖον ἐν σμικρῷ λόγῳ παρῆκεν ὥστε βραχέα μοι δεῖσθαι φράσαι σὺ γάρ μ᾽ ὅς εἰμι κἀφ᾽ ὅτου πατρὸς γεγὼς καὶ γῆς ὁποίας ἦλθον εἰρηκὼς κυρεῖς ὥστ᾽ ἐστί μοι τὸ λοιπὸν οὐδὲν ἄλλο πλὴν εἰπεῖν ἃ χρῄζω χὠ λόγος διοίχεται,42,3323,3281,3323,Θησεῦ ὁ σός γενναῖος ἐν μικρός λόγος παρίημι ὥστε βραχύς ἐγώ δέω φράζω σύ γάρ μ ̓ ὅς εἰμί κἀφ ̓ ὅστις πατήρ γεγὼς καί γῆ ὁποῖος ἔρχομαι εἰρηκὼς κυρέω ὥστ ̓ εἰμί ἐγώ ὁ λοιπός οὐδείς ἄλλος πλήν εἶπον ὅς χρῄζω ὁ λόγος διοίχομαι
Θησεύς,τοῦτ᾽ αὐτὸ νῦν δίδασχ᾽ ὅπως ἂν ἐκμάθω,7,3330,3323,3330,τοῦτ ̓ αὐτός νῦν δίδασχ ̓ ὅπως ἄν ἐκμανθάνω
Οἰδίπους,δώσων ἱκάνω τοὐμὸν ἄθλιον δέμας σοὶ δῶρον οὐ σπουδαῖον εἰς ὄψιν τὰ δὲ κέρδη παρ᾽ αὐτοῦ κρείσσον᾽ ἢ μορφὴ καλή,20,3350,3330,3350,δώσων ἱκάνω ἐμός ἄθλιος δέμας σύ δῶρον οὐ σπουδαῖος εἰς ὄψις ὁ δέ κέρδος παρ ̓ αὐτός κρείσσον ̓ ἤ μορφή καλός
Θησεύς,ποῖον δὲ κέρδος ἀξιοῖς ἥκειν φέρων,6,3356,3350,3356,ποῖος δέ κέρδος ἀξιόω ἥκω φέρω
Οἰδίπους,χρόνῳ μάθοις ἄν οὐχὶ τῷ παρόντι που,7,3363,3356,3363,χρόνος μανθάνω ἀνά οὐ ὁ πάρειμι πού
Θησεύς,ποίῳ γὰρ ἡ σὴ προσφορὰ δηλώσεται,6,3369,3363,3369,ποῖος γάρ ὁ σός προσφορὰ δηλόω
Οἰδίπους,ὅταν θάνω γὼ καὶ σύ μου ταφεὺς γένῃ,8,3377,3369,3377,ὅταν θνήσκω ἐγώ καί σύ ἐγώ ταφεὺς γίγνομαι
Θησεύς,τὰ λοίσθι᾽ αἰτεῖ τοῦ βίου τὰ δ᾽ ἐν μέσῳ ἢ λῆστιν ἴσχεις ἢ δι᾽ οὐδενὸς ποεῖ,16,3393,3377,3393,ὁ λοίσθι ̓ αἰτέω ὁ βίος ὁ δ ̓ ἐν μέσος ἤ λῆστις ἴσχω ἤ δι ̓ οὐδείς ποιέω
Οἰδίπους,ἐνταῦθα γάρ μοι κεῖνα συγκομίζεται,5,3398,3393,3398,ἐνταῦθα γάρ ἐγώ κεῖνος συγκομίζω
Θησεύς,ἀλλ᾽ ἐν βραχεῖ δὴ τήνδε μ᾽ ἐξαιτεῖ χάριν,8,3406,3398,3406,ἀλλ ̓ ἐν βραχύς δή ὅδε μ ̓ ἐξαιτέω χάρις
Οἰδίπους,ὅρα γε μήν οὐ σμικρός οὔχ ἁγὼν ὅδε,8,3414,3406,3414,ὁράω γε μήν οὐ μικρός οὐ ἁγὼν ὅδε
Θησεύς,πότερα τὰ τῶν σῶν ἐκγόνων κἀμοῦ λέγεις,7,3421,3414,3421,πότερος ὁ ὁ σός ἔκγονος ἐγώ λέγω
Οἰδίπους,κεῖνοι κομίζειν κεῖσ᾽ ἄναξ χρῄζουσί με,6,3427,3421,3427,ἐκεῖνος κομίζω κεῖσ ̓ ἄναξ χρῄζουσί ἐγώ
Θησεύς,ἀλλ᾽ εἰ θέλοντά γ᾽ οὐδὲ σοὶ φεύγειν καλόν,8,3435,3427,3435,ἀλλ ̓ εἰ θέλοντά γ ̓ οὐδέ σύ φεύγω καλός
Οἰδίπους,ἀλλ᾽ οὐδ᾽ ὅτ᾽ αὐτὸς ἤθελον παρίεσαν,6,3441,3435,3441,ἀλλ ̓ οὐδ ̓ ὅτ ̓ αὐτός ἐθέλω παρίημι
Θησεύς,ὦ μῶρε θυμὸς δ᾽ ἐν κακοῖς οὐ ξύμφορον,8,3449,3441,3449,ὦ μωρός θυμός δ ̓ ἐν κακός οὐ σύμφορος
Οἰδίπους,ὅταν μάθῃς μου νουθέτει τανῦν δ᾽ ἔα,7,3456,3449,3456,ὅταν μανθάνω ἐγώ νουθετέω τανῦν δ ̓ εἰμί
Θησεύς,δίδασκ᾽ ἄνευ γνώμης γὰρ οὔ με χρὴ λέγειν,8,3464,3456,3464,δίδασκ ̓ ἄνευ γνώμη γάρ οὐ ἐγώ χρή λέγω
Οἰδίπους,πέπονθα Θησεῦ δεινὰ πρὸς κακοῖς κακά,6,3470,3464,3470,πάσχω Θησεῦ δεινός πρός κακός κακός
Θησεύς,ἦ τὴν παλαιὰν ξυμφορὰν γένους ἐρεῖς,6,3476,3470,3476,εἰμί ὁ παλαιός συμφορά γένος ἐρῶ
Οἰδίπους,οὐ δῆτ᾽ ἐπεὶ πᾶς τοῦτό γ᾽ Ἑλλήνων θροεῖ,8,3484,3476,3484,οὐ δῆτ ̓ ἐπεί πᾶς οὗτος γ ̓ Ἕλλην θροέω
Θησεύς,τί γὰρ τὸ μεῖζον ἢ κατ᾽ ἄνθρωπον νοσεῖς,8,3492,3484,3492,τίς γάρ ὁ μέγας ἤ κατ ̓ ἄνθρωπος νοσέω
Οἰδίπους,οὕτως ἔχει μοι γῆς ἐμῆς ἀπηλάθην πρὸς τῶν ἐμαυτοῦ σπερμάτων ἔστιν δέ μοι πάλιν κατελθεῖν μήποθ᾽ ὡς πατροκτόνῳ,18,3510,3492,3510,οὕτως ἔχω ἐγώ γῆ ἐμός ἀπελαύνω πρός ὁ ἐμαυτοῦ σπέρμα εἰμί δέ ἐγώ πάλιν κατέρχομαι μήποθ ̓ ὡς πατροκτόνος
Θησεύς,πῶς δῆτα σ᾽ ἂν πεμψαίαθ᾽ ὥστ᾽ οἰκεῖν δίχα,8,3518,3510,3518,πῶς δῆτα σ ̓ ἄν πεμψαίαθ ̓ ὥστ ̓ οἰκέω δίχα
Οἰδίπους,τὸ θεῖον αὐτοὺς ἐξαναγκάσει στόμα,5,3523,3518,3523,ὁ θεῖος αὐτός ἐξαναγκάζω στόμα
Θησεύς,ποῖον πάθος δείσαντας ἐκ χρηστηρίων,5,3528,3523,3528,ποῖος πάθος δείδω ἐκ χρηστήριον
Οἰδίπους,ὅτι σφ᾽ ἀνάγκη τῇδε πληγῆναι χθονί,6,3534,3528,3534,ὅτι σφ ̓ ἀνάγκη ὅδε πλήσσω χθών
Θησεύς,καὶ πῶς γένοιτ᾽ ἂν τἀμὰ κἀκείνων πικρά,7,3541,3534,3541,καί πῶς γένοιτ ̓ ἄν ἐμός ἐκεῖνος πικρός
Οἰδίπους,ὦ φίλτατ᾽ Αἰγέως παῖ μόνοις οὐ γίγνεται θεοῖσι γῆρας οὐδὲ κατθανεῖν ποτε τὰ δ᾽ ἄλλα συγχεῖ πάνθ᾽ ὁ παγκρατὴς χρόνος φθίνει μὲν ἰσχὺς γῆς φθίνει δὲ σώματος θνῄσκει δὲ πίστις βλαστάνει δ᾽ ἀπιστία καὶ πνεῦμα ταὐτὸν οὔποτ᾽ οὔτ᾽ ἐν ἀνδράσιν φίλοις βέβηκεν οὔτε πρὸς πόλιν πόλει τοῖς μὲν γὰρ ἤδη τοῖς δ᾽ ἐν ὑστέρῳ χρόνῳ τὰ τερπνὰ πικρὰ γίγνεται καὖθις φίλα καὶ ταῖσι Θήβαις εἰ τανῦν εὐημερεῖ καλῶς τὰ πρὸς σέ μυρίας ὁ μυρίος χρόνος τεκνοῦται νύκτας ἡμέρας τ᾽ ἰών ἐν αἷς τὰ νῦν ξύμφωνα δεξιώματα δόρει διασκεδῶσιν ἐκ σμικροῦ λόγου ἵν᾽ οὑμὸς εὕδων καὶ κεκρυμμένος νέκυς ψυχρός ποτ᾽ αὐτῶν θερμὸν αἷμα πίεται εἰ Ζεὺς ἔτι Ζεὺς χὠ Διὸς Φοῖβος σαφής ἀλλ᾽ οὐ γὰρ αὐδᾶν ἡδὺ τἀκίνητ᾽ ἔπη ἔα μ᾽ ἐν οἷσιν ἠρξάμην τὸ σὸν μόνον πιστὸν φυλάσσων κοὔποτ᾽ Οἰδίπουν ἐρεῖς ἀχρεῖον οἰκητῆρα δέξασθαι τόπων τῶν ἐνθάδ᾽ εἴπερ μὴ θεοὶ ψεύσουσί με,142,3683,3541,3683,ὦ φίλτατ ̓ Αἰγέως παῖς μόνος οὐ γίγνομαι θεός γῆρας οὐδέ καταθνήσκω ποτέ ὁ δ ̓ ἄλλος συγχέω πάνθ ̓ ὁ παγκρατής χρόνος φθίω μέν ἰσχύς γῆ φθίω δέ σῶμα θνήσκω δέ πίστις βλαστάνω δ ̓ ἀπιστία καί πνεῦμα ταὐτός οὔποτ ̓ οὔτ ̓ ἐν ἀνήρ φίλος βαίνω οὔτε πρός πόλις πόλις ὁ μέν γάρ ἤδη ὁ δ ̓ ἐν ὕστερος χρόνος ὁ τερπνός πικρός γίγνομαι αὖθις φίλος καί ὁ Θῆβαι εἰ τανῦν εὐημερέω καλός ὁ πρός σύ μυρίος ὁ μυρίος χρόνος τεκνόω νύξ ἡμέρα τ ̓ εἰμί ἐν ὅς ὁ νῦν σύμφωνος δεξίωμα δόρυ διασκεδάννυμι ἐκ μικρός λόγος ἵν ̓ ἐμός εὕδω καί κρύπτω νέκυς ψυχρός ποτ ̓ αὐτός θερμός αἷμα πίνω εἰ Ζεύς ἔτι Ζεύς ὁ Ζεύς Φοῖβος σαφής ἀλλ ̓ οὐ γάρ αὐδάω ἡδύς τἀκίνητ ̓ ἔπος εἰμί μ ̓ ἐν ὅς ἄρχω ὁ σός μόνος πιστός φυλάσσω κοὔποτ ̓ Οἰδίπους ἐρῶ ἀχρεῖος οἰκητήρ δέχομαι τόπος ὁ ἐνθάδ ̓ εἴπερ μή θεός ψεύσουσί ἐγώ
Χορός,ἄναξ πάλαι καὶ ταῦτα καὶ τοιαῦτ᾽ ἔπη γῇ τῇδ᾽ ὅδ᾽ ἁνὴρ ὡς τελῶν ἐφαίνετο,14,3697,3683,3697,ἄναξ πάλαι καί οὗτος καί τοιαῦτ ̓ ἔπος γῆ τῇδ ̓ ὅδ ̓ ἀνήρ ὡς τελέω φαίνω
Θησεύς,τίς δῆτ᾽ ἂν ἀνδρὸς εὐμένειαν ἐκβάλοι τοιοῦδ᾽ ὅτῳ πρῶτον μὲν ἡ δορύξενος κοινή παρ᾽ ἡμῖν αἰέν ἐστιν ἑστία ἔπειτα δ᾽ ἱκέτης δαιμόνων ἀφιγμένος γῇ τῇδε κἀμοὶ δασμὸν οὐ σμικρὸν τίνει ἁγὼ σεβισθεὶς οὔποτ᾽ ἐκβαλῶ χάριν τὴν τοῦδε χώρᾳ δ᾽ ἔμπολιν κατοικιῶ εἰ δ᾽ ἐνθάδ᾽ ἡδὺ τῷ ξένῳ μίμνειν σέ νιν τάξω φυλάσσειν εἴτ᾽ ἐμοῦ στείχειν μέτα τόδ᾽ ἡδύ τούτων Οἰδίπους δίδωμί σοι κρίναντι χρῆσθαι τῇδε γὰρ ξυνοίσομαι,67,3764,3697,3764,τις δῆτ ̓ ἄν ἀνήρ εὐμένεια ἐκβάλλω τοιοῦδ ̓ ὅστις πρῶτος μέν ὁ δορύξενος κοινός παρ ̓ ἐγώ ἀεί εἰμί ἑστία ἔπειτα δ ̓ ἱκέτης δαίμων ἀφικνέομαι γῆ ὅδε ἐγώ δασμός οὐ σμικρός τίνω ἐγώ σεβισθεὶς οὔποτ ̓ ἐκβάλλω χάρις ὁ ὅδε χώρα δ ̓ ἔμπολις κατοικίζω εἰ δ ̓ ἐνθάδ ̓ ἡδύς ὁ ξένος μίμνω σύ νιν τάσσω φυλάσσω εἴτ ̓ ἐγώ στείχω μετά τόδ ̓ ἡδύς οὗτος Οἰδίπους δίδωμί σύ κρίνω χράω ὅδε γάρ συμφέρω
Οἰδίπους,ὦ Ζεῦ διδοίης τοῖσι τοιούτοισιν εὖ,6,3770,3764,3770,ὦ Ζεύς δίδωμι ὁ τοιοῦτος εὖ
Θησεύς,τί δῆτα χρῄζεις ἦ δόμους στείχειν ἐμούς,7,3777,3770,3777,τίς δῆτα χρῄζω εἰμί δόμος στείχω ἐμός
Οἰδίπους,εἴ μοι θέμις γ᾽ ἦν ἀλλ᾽ ὁ χῶρός ἐσθ᾽ ὅδε,10,3787,3777,3787,εἰ ἐγώ θέμις γ ̓ εἰμί ἀλλ ̓ ὁ χῶρός ἐσθ ̓ ὅδε
Θησεύς,ἐν ᾧ τί πράξεις οὐ γὰρ ἀντιστήσομαι,7,3794,3787,3794,ἐν ὅς τίς πρᾶξις οὐ γάρ ἀνθίστημι
Οἰδίπους,ἐν ᾧ κρατήσω τῶν ἔμ᾽ ἐκβεβληκότων,6,3800,3794,3800,ἐν ὅς κρατέω ὁ ἔμ ̓ ἐκβάλλω
Θησεύς,μέγ᾽ ἂν λέγοις δώρημα τῆς συνουσίας,6,3806,3800,3806,μέγ ̓ ἄν λέγω δώρημα ὁ συνουσία
Οἰδίπους,εἰ σοί γ᾽ ἅπερ φῂς ἐμμενεῖ τελοῦντί μοι,8,3814,3806,3814,εἰ σύ γ ̓ ὅς φημί ἐμμένω τελοῦντί ἐγώ
Θησεύς,θάρσει τὸ τοῦδέ γ᾽ ἀνδρός οὔ σε μὴ προδῶ,9,3823,3814,3823,θαρσέω ὁ ὅδε γ ̓ ἀνήρ οὐ σύ μή προδίδωμι
Οἰδίπους,οὔτοι σ᾽ ὑφ᾽ ὅρκου γ᾽ ὡς κακὸν πιστώσομαι,8,3831,3823,3831,οὔτοι σ ̓ ὑφ ̓ ὅρκος γ ̓ ὡς κακός πιστόω
Θησεύς,οὔκουν πέρα γ᾽ ἂν οὐδὲν ἢ λόγῳ φέροις,8,3839,3831,3839,οὔκουν πέρα γ ̓ ἄν οὐδείς ἤ λόγος φέρω
Οἰδίπους,πῶς οὖν ποήσεις,3,3842,3839,3842,πῶς οὖν ποιέω
Θησεύς,τοῦ μάλιστ᾽ ὄκνος σ᾽ ἔχει,5,3847,3842,3847,ὁ μάλιστ ̓ ὄκνος σ ̓ ἔχω
Οἰδίπους,ἥξουσιν ἄνδρες,2,3849,3847,3849,ἥκω ἀνήρ
Θησεύς,ἀλλὰ τοῖσδ᾽ ἔσται μέλον,4,3853,3849,3853,ἀλλά τοῖσδ ̓ εἰμί μέλω
Οἰδίπους,ὅρα με λείπων,3,3856,3853,3856,ὁράω ἐγώ λείπω
Θησεύς,μὴ δίδασχ᾽ ἃ χρή με δρᾶν,6,3862,3856,3862,μή δίδασχ ̓ ὅς χρή ἐγώ δράω
Οἰδίπους,ὀκνοῦντ᾽ ἀνάγκη,2,3864,3862,3864,ὀκνοῦντ ̓ ἀνάγκη
