speaker,text,wordCount
Κρέων,τί δ᾽ ἔστι ποίᾳ ξύμμετρος προὔβην τύχῃ,7
Φύλαξ,ἄναξ βροτοῖσιν οὐδέν ἔστ᾽ ἀπώμοτον ψεύδει γὰρ ἡ πίνοια τὴν γνώμην ἐπεὶ σχολῇ ποθ᾽ ἥξειν δεῦρ᾽ ἂν ἐξηύχουν ἐγὼ ταῖς σαῖς ἀπειλαῖς αἷς ἐχειμάσθην τότε ἀλλ᾽ ἡ γὰρ ἐκτὸς καὶ παρ᾽ ἐλπίδας χαρὰ ἔοικεν ἄλλῃ μῆκος οὐδὲν ἡδονῇ ἥκω δι᾽ ὅρκων καίπερ ὢν ἀπώμοτος κόρην ἄγων τήνδ᾽ ἣ καθῃρέθη τάφον κοσμοῦσα κλῆρος ἐνθάδ᾽ οὐκ ἐπάλλετο ἀλλ᾽ ἔστ᾽ ἐμὸν θοὔρμαιον οὐκ ἄλλου τόδε καὶ νῦν ἄναξ τήνδ᾽ αὐτός ὡς θέλεις λαβὼν καὶ κρῖνε κἀξέλεγχ᾽ ἐγὼ δ᾽ ἐλεύθερος δίκαιός εἰμι τῶνδ᾽ ἀπηλλάχθαι κακῶν,81
Κρέων,ἄγεις δὲ τήνδε τῷ τρόπῳ πόθεν λαβών,7
Φύλαξ,αὕτη τὸν ἄνδρ᾽ ἔθαπτε πάντ᾽ ἐπίστασαι,6
Κρέων,ἦ καὶ ξυνίης καὶ λέγεις ὀρθῶς ἃ φῄς,8
Φύλαξ,ταύτην γ᾽ ἰδὼν θάπτουσαν ὃν σὺ τὸν νεκρὸν ἀπεῖπας ἆρ᾽ ἔνδηλα καὶ σαφῆ λέγω,14
Κρέων,καὶ πῶς ὁρᾶται κἀπίληπτος ᾑρέθη,5
Φύλαξ,τοιοῦτον ἦν τὸ πρᾶγμ᾽ ὅπως γὰρ ἥκομεν πρὸς σοῦ τὰ δείν᾽ ἐκεῖν᾽ ἐπηπειλημένοι πᾶσαν κόνιν σήραντες ἣ κατεῖχε τὸν νέκυν μυδῶν τε σῶμα γυμνώσαντες εὖ καθήμεθ᾽ ἄκρων ἐκ πάγων ὑπήνεμοι ὀσμὴν ἀπ᾽ αὐτοῦ μὴ βάλοι πεφευγότες ἐγερτὶ κινῶν ἄνδρ᾽ ἀνὴρ ἐπιρρόθοις κακοῖσιν εἴ τις τοῦδ᾽ ἀκηδήσοι πόνου χρόνον τάδ᾽ ἦν τοσοῦτον ἔστ᾽ ἐν αἰθέρι μέσῳ κατέστη λαμπρὸς ἡλίου κύκλος καὶ καῦμ᾽ ἔθαλπε καὶ τότ᾽ ἐξαίφνης χθονὸς τυφὼς ἀείρας σκηπτόν οὐράνιον ἄχος πίμπλησι πεδίον πᾶσαν αἰκίζων φόβην ὕλης πεδιάδος ἐν δ᾽ ἐμεστώθη μέγας αἰθήρ μύσαντες δ᾽ εἴχομεν θείαν νόσον καὶ τοῦδ᾽ ἀπαλλαγέντος ἐν χρόνῳ μακρῷ ἡ παῖς ὁρᾶται κἀνακωκύει πικρᾶς ὄρνιθος ὀξὺν φθόγγον ἐς ὅταν κενῆς εὐνῆς νεοσσῶν ὀρφανὸν βλέψῃ λέχος οὕτω δὲ χαὔτη ψιλὸν ὡς ὁρᾷ νέκυν γόοισιν ἐξῴμωξεν ἐκ δ᾽ ἀρὰς κακὰς ἠρᾶτο τοῖσι τοὔργον ἐξειργασμένοις καὶ χερσὶν εὐθὺς διψίαν φέρει κόνιν ἔκ τ᾽ εὐκροτήτου χαλκέας ἄρδην πρόχου χοαῖσι τρισπόνδοισι τὸν νέκυν στέφει χἠμεῖς ἰδόντες ἱέμεσθα σὺν δέ νιν θηρώμεθ᾽ εὐθὺς οὐδὲν ἐκπεπληγμένην καὶ τάς τε πρόσθεν τάς τε νῦν ἠλέγχομεν πράξεις ἄπαρνος δ᾽ οὐδενὸς καθίστατο ἅμ᾽ ἡδέως ἔμοιγε κἀλγεινῶς ἅμα τὸ μὲν γὰρ αὐτὸν ἐκ κακῶν πεφευγέναι ἥδιστον ἐς κακὸν δὲ τοὺς φίλους ἄγειν ἀλγεινόν ἀλλὰ πάντα ταῦθ᾽ ἥσσω λαβεῖν ἐμοὶ πέφυκε τῆς ἐμῆς σωτηρίας,197
Κρέων,σὲ δή σὲ τὴν νεύουσαν εἰς πέδον κάρα φὴς ἢ καταρνεῖ μὴ δεδρακέναι τάδε,14
Ἀντιγόνη,καὶ φημὶ δρᾶσαι κοὐκ ἀπαρνοῦμαι τὸ μή,7
Κρέων,σὺ μὲν κομίζοις ἂν σεαυτὸν ᾖ θέλεις ἔξω βαρείας αἰτίας ἐλεύθερον σὺ δ᾽ εἰπέ μοι μὴ μῆκος ἀλλὰ συντόμως ᾔδησθα κηρυχθέντα μὴ πράσσειν τάδε,24
Ἀντιγόνη,ᾔδη τί δ᾽ οὐκ ἔμελλον ἐμφανῆ γὰρ ἦν,8
Κρέων,καὶ δῆτ᾽ ἐτόλμας τούσδ᾽ ὑπερβαίνειν νόμους,6
Ἀντιγόνη,οὐ γάρ τί μοι Ζεὺς ἦν ὁ κηρύξας τάδε οὐδ᾽ ἡ ξύνοικος τῶν κάτω θεῶν Δίκη τοιούσδ᾽ ἐν ἀνθρώποισιν ὥρισεν νόμους οὐδὲ σθένειν τοσοῦτον ᾠόμην τὰ σὰ κηρύγμαθ᾽ ὥστ᾽ ἄγραπτα κἀσφαλῆ θεῶν νόμιμα δύνασθαι θνητὸν ὄνθ᾽ ὑπερδραμεῖν οὐ γάρ τι νῦν γε κἀχθές ἀλλ᾽ ἀεί ποτε ζῇ ταῦτα κοὐδεὶς οἶδεν ἐξ ὅτου φάνη τούτων ἐγὼ οὐκ ἔμελλον ἀνδρὸς οὐδενὸς φρόνημα δείσασ᾽ ἐν θεοῖσι τὴν δίκην δώσειν θανουμένη γὰρ ἐξῄδη τί δ᾽ οὔ κεἰ μὴ σὺ προὐκήρυξας εἰ δὲ τοῦ χρόνου πρόσθεν θανοῦμαι κέρδος αὔτ᾽ ἐγὼ λέγω ὅστις γὰρ ἐν πολλοῖσιν ὡς ἐγὼ κακοῖς ζῇ πῶς ὅδ᾽ Οὐχὶ κατθανὼν κέρδος φέρει οὕτως ἔμοιγε τοῦδε τοῦ μόρου τυχεῖν παρ᾽ οὐδὲν ἄλγος ἀλλ᾽ ἄν εἰ τὸν ἐξ ἐμῆς μητρὸς θανόντ᾽ ἄθαπτον ἠνσχόμην νέκυν κείνοις ἂν ἤλγουν τοῖσδε δ᾽ οὐκ ἀλγύνομαι σοὶ δ᾽ εἰ δοκῶ νῦν μῶρα δρῶσα τυγχάνειν σχεδόν τι μώρῳ μωρίαν ὀφλισκάνω,140
Χορός,δηλοῖ τὸ γέννημ᾽ ὠμὸν ἐξ ὠμοῦ πατρὸς τῆς παιδός εἴκειν δ᾽ οὐκ ἐπίσταται κακοῖς,14
Κρέων,ἀλλ᾽ ἴσθι τοι τὰ σκλήρ᾽ ἄγαν φρονήματα πίπτειν μάλιστα καὶ τὸν ἐγκρατέστατον σίδηρον ὀπτὸν ἐκ πυρὸς περισκελῆ θραυσθέντα καὶ ῥαγέντα πλεῖστ᾽ ἂν εἰσίδοις σμικρῷ χαλινῷ δ᾽ οἶδα τοὺς θυμουμένους ἵππους καταρτυθέντας οὐ γὰρ ἐκπέλει φρονεῖν μέγ᾽ ὅστις δοῦλός ἐστι τῶν πέλας αὕτη δ᾽ ὑβρίζειν μὲν τότ᾽ ἐξηπίστατο νόμους ὑπερβαίνουσα τοὺς προκειμένους ὕβρις δ᾽ ἐπεὶ δέδρακεν ἥδε δευτέρα τούτοις ἐπαυχεῖν καὶ δεδρακυῖαν γελᾶν ἦ νῦν ἐγὼ μὲν οὐκ ἀνήρ αὕτη δ᾽ ἀνήρ εἰ ταῦτ᾽ ἀνατὶ τῇδε κείσεται κράτη ἀλλ᾽ εἴτ᾽ ἀδελφῆς εἴθ᾽ ὁμαιμονεστέρα τοῦ παντὸς ἡμῖν Ζηνὸς ἑρκείου κυρεῖ αὐτή τε χἠ ξύναιμος οὐκ ἀλύξετον μόρου κακίστου καὶ γὰρ οὖν κείνην ἴσον ἐπαιτιῶμαι τοῦδε βουλεῦσαι τάφου καί νιν καλεῖτ᾽ ἔσω γὰρ εἶδον ἀρτίως λυσσῶσαν αὐτὴν οὐδ᾽ ἐπήβολον φρενῶν φιλεῖ δ᾽ ὁ θυμὸς πρόσθεν ᾑρῆσθαι κλοπεὺς τῶν μηδὲν ὀρθῶς ἐν σκότῳ τεχνωμένων μισῶ γε μέντοι χὤταν ἐν κακοῖσί τις ἁλοὺς ἔπειτα τοῦτο καλλύνειν θέλῃ,142
Ἀντιγόνη,θέλεις τι μεῖζον ἢ κατακτεῖναί μ᾽ ἑλών,7
Κρέων,ἐγὼ μὲν οὐδέν τοῦτ᾽ ἔχων ἅπαντ᾽ ἔχω,7
Ἀντιγόνη,τί δῆτα μέλλεις ὡς ἐμοὶ τῶν σῶν λόγων ἀρεστὸν οὐδὲν μηδ᾽ ἀρεσθείη ποτέ οὕτω δὲ καὶ σοὶ τἄμ᾽ ἀφανδάνοντ᾽ ἔφυ καίτοι πόθεν κλέος γ᾽ ἂν εὐκλεέστερον κατέσχον ἢ τὸν αὐτάδελφον ἐν τάφῳ τιθεῖσα τούτοις τοῦτο πᾶσιν ἁνδάνειν λέγοιτ᾽ ἄν εἰ μὴ γλῶσσαν ἐγκλῄοι φόβος ἀλλ᾽ ἡ τυραννὶς πολλά τ᾽ ἄλλ᾽ εὐδαιμονεῖ κἄξεστιν αὐτῇ δρᾶν λέγειν θ᾽ ἃ βούλεται,58
Κρέων,σὺ τοῦτο μούνη τῶνδε Καδμείων ὁρᾷς,6
Ἀντιγόνη,ὁρῶσι χοὖτοι σοὶ δ᾽ ὑπίλλουσιν στόμα,6
Κρέων,σὺ δ᾽ οὐκ ἐπαιδεῖ τῶνδε χωρὶς εἰ φρονεῖς,8
Ἀντιγόνη,οὐδὲν γὰρ αἰσχρὸν τοὺς ὁμοσπλάγχνους σέβειν,6
Κρέων,οὔκουν ὅμαιμος χὠ καταντίον θανών,5
Ἀντιγόνη,ὅμαιμος ἐκ μιᾶς τε καὶ ταὐτοῦ πατρός,7
Κρέων,πῶς δῆτ᾽ ἐκείνῳ δυσσεβῆ τιμᾷς χάριν,6
Ἀντιγόνη,οὐ μαρτυρήσει ταῦθ᾽ ὁ κατθανὼν νέκυς,6
Κρέων,εἴ τοί σφε τιμᾷς ἐξ ἴσου τῷ δυσσεβεῖ,8
Ἀντιγόνη,οὐ γάρ τι δοῦλος ἀλλ᾽ ἀδελφὸς ὤλετο,7
Κρέων,πορθῶν δὲ τήνδε γῆν ὁ δ᾽ ἀντιστὰς ὕπερ,8
Ἀντιγόνη,ὁμῶς ὅ γ᾽ Ἅιδης τοὺς νόμους τούτους ποθεῖ,8
Κρέων,ἀλλ᾽ οὐχ ὁ χρηστὸς τῷ κακῷ λαχεῖν ἴσος,8
Ἀντιγόνη,τίς οἶδεν εἰ κάτωθεν εὐαγῆ τάδε,6
Κρέων,οὔτοι ποθ᾽ οὑχθρός οὐδ᾽ ὅταν θάνῃ φίλος,7
Ἀντιγόνη,οὔτοι συνέχθειν ἀλλὰ συμφιλεῖν ἔφυν,5
Κρέων,κάτω νυν ἐλθοῦσ᾽ εἰ φιλητέον φίλει κείνους ἐμοῦ δὲ ζῶντος οὐκ ἄρξει γυνή,13
Χορός,καὶ μὴν πρὸ πυλῶν ἥδ᾽ Ἰσμήνη φιλάδελφα κάτω δάκρυ᾽ εἰβομένη νεφέλη δ᾽ ὀφρύων ὕπερ αἱματόεν ῥέθος αἰσχύνει τέγγουσ᾽ εὐῶπα παρειάν,20
Κρέων,σὺ δ᾽ ἣ κατ᾽ οἴκους ὡς ἔχιδν᾽ ὑφειμένη λήθουσά μ᾽ ἐξέπινες οὐδ᾽ ἐμάνθανον τρέφων δύ᾽ ἄτα κἀπαναστάσεις θρόνων φέρ᾽ εἰπὲ δή μοι καὶ σὺ τοῦδε τοῦ τάφου φήσεις μετασχεῖν ἢ ξομεῖ τὸ μὴ εἰδέναι,34
Ἰσμήνη,δέδρακα τοὔργον εἴπερ ἥδ᾽ ὁμορροθεῖ καὶ ξυμμετίσχω καὶ φέρω τῆς αἰτίας,11
Ἀντιγόνη,ἀλλ᾽ οὐκ ἐάσει τοῦτό γ᾽ ἡ δίκη σ᾽ ἐπεὶ οὔτ᾽ ἠθέλησας οὔτ᾽ ἐγὼ κοινωσάμην,14
Ἰσμήνη,ἀλλ᾽ ἐν κακοῖς τοῖς σοῖσιν οὐκ αἰσχύνομαι ξύμπλουν ἐμαυτὴν τοῦ πάθους ποιουμένη,12
Ἀντιγόνη,ὧν τοὔργον Ἅιδης χοἰ κάτω ξυνίστορες λόγοις δ᾽ ἐγὼ φιλοῦσαν οὐ στέργω φίλην,13
Ἰσμήνη,μήτοι κασιγνήτη μ᾽ ἀτιμάσῃς τὸ μὴ οὐ θανεῖν τε σὺν σοὶ τὸν θανόντα θ᾽ ἁγνίσαι,15
Ἀντιγόνη,μή μοι θάνῃς σὺ κοινὰ μηδ᾽ ἃ μὴ θιγες ποιοῦ σεαυτῆς ἀρκέσω θνῄσκουσ᾽ ἐγώ,14
Ἰσμήνη,καὶ τίς βίος μοι σοῦ λελειμμένῃ φίλος,7
Ἀντιγόνη,Κρέοντ᾽ ἐρώτα τοῦδε γὰρ σὺ κηδεμών,6
Ἰσμήνη,τί ταῦτ᾽ ἀνιᾷς μ᾽ οὐδὲν ὠφελουμένη,6
Ἀντιγόνη,ἀλγοῦσα μὲν δῆτ᾽ εἰ γελῶ γ᾽ ἐν σοὶ γελῶ,9
Ἰσμήνη,τί δῆτ᾽ ἂν ἀλλὰ νῦν σ᾽ ἔτ᾽ ὠφελοῖμ᾽ ἐγώ,9
Ἀντιγόνη,σῶσον σεαυτήν οὐ φθονῶ σ᾽ ὑπεκφυγεῖν,6
Ἰσμήνη,οἴμοι τάλαινα κἀμπλάκω τοῦ σοῦ μόρου,6
Ἀντιγόνη,σὺ μὲν γὰρ εἵλου ζῆν ἐγὼ δὲ κατθανεῖν,8
Ἰσμήνη,ἀλλ᾽ οὐκ ἐπ᾽ ἀρρήτοις γε τοῖς ἐμοῖς λόγοις,8
Ἀντιγόνη,καλῶς σὺ μὲν τοῖς τοῖς δ᾽ ἐγὼ δόκουν φρονεῖν,9
Ἰσμήνη,καὶ μὴν ἴση νῷν ἐστιν ἡ ξαμαρτία,7
Ἀντιγόνη,θάρσει σὺ μὲν ζῇς ἡ δ᾽ ἐμὴ ψυχὴ πάλαι τέθνηκεν ὥστε τοῖς θανοῦσιν ὠφελεῖν,14
Κρέων,τὼ παῖδε φημὶ τώδε τὴν μὲν ἀρτίως ἄνουν πεφάνθαι τὴν δ᾽ ἀφ᾽ οὗ τὰ πρῶτ᾽ ἔφυ,16
Ἰσμήνη,οὐ γάρ ποτ᾽ ὦναξ οὐδ᾽ ὃς ἂν βλάστῃ μένει νοῦς τοῖς κακῶς πράσσουσιν ἀλλ᾽ ἐξίσταται,15
Κρέων,σοὶ γοῦν ὅθ᾽ εἵλου σὺν κακοῖς πράσσειν κακά,8
Ἰσμήνη,τί γὰρ μόνῃ μοι τῆσδ᾽ ἄτερ βιώσιμον,7
Κρέων,ἀλλ᾽ ἥδε μέντοι μὴ λέγ᾽ οὐ γὰρ ἔστ᾽ ἔτι,9
Ἰσμήνη,ἀλλὰ κτενεῖς νυμφεῖα τοῦ σαυτοῦ τέκνου,6
Κρέων,ἀρώσιμοι γὰρ χἀτέρων εἰσὶν γύαι,5
Ἰσμήνη,οὐχ ὥς γ᾽ ἐκείνῳ τῇδέ τ᾽ ἦν ἡρμοσμένα,8
Κρέων,κακὰς ἐγὼ γυναῖκας υἱέσι στυγῶ,5
Ἀντιγόνη,ὦ φίλταθ᾽ Αἷμον ὥς σ᾽ ἀτιμάζει πατήρ,7
Κρέων,ἄγαν γε λυπεῖς καὶ σὺ καὶ τὸ σὸν λέχος,9
Χορός,ἦ γὰρ στερήσεις τῆσδε τὸν σαυτοῦ γόνον,7
Κρέων,Ἅιδης ὁ παύσων τούσδε τοὺς γάμους ἔφυ,7
Χορός,δεδογμέν᾽ ὡς ἔοικε τήνδε κατθανεῖν,5
Κρέων,καὶ σοί γε κἀμοί μὴ τριβὰς ἔτ᾽ ἀλλά νιν κομίζετ᾽ εἴσω δμῶες ἐκ δὲ τοῦδε χρὴ γυναῖκας εἶναι τάσδε μηδ᾽ ἀνειμένας φεύγουσι γάρ τοι χοἰ θρασεῖς ὅταν πέλας ἤδη τὸν Ἅιδην εἰσορῶσι τοῦ βίου,34
Χορός,εὐδαίμονες οἷσι κακῶν ἄγευστος αἰών οἷς γὰρ ἂν σεισθῇ θεόθεν δόμος ἄτας οὐδὲν ἐλλείπει γενεᾶς ἐπὶ πλῆθος ἕρπον ὅμοιον ὥστε ποντίαις οἶδμα δυσπνόοις ὅταν Θρῄσσαισιν ἔρεβος ὕφαλον ἐπιδράμῃ πνοαῖς κυλίνδει βυσσόθεν κελαινὰν θῖνα καὶ δυσάνεμοι στόνῳ βρέμουσι δ᾽ ἀντιπλῆγες ἀκταί,40
Χορός,ἀρχαῖα τὰ Λαβδακιδᾶν οἴκων ὁρῶμαι πήματα φθιτῶν ἐπὶ πήμασι πίπτοντ᾽ οὐδ᾽ ἀπαλλάσσει γενεὰν γένος ἀλλ᾽ ἐρείπει θεῶν τις οὐδ᾽ ἔχει λύσιν νῦν γὰρ ἐσχάτας ὕπερ ῥίζας ὃ τέτατο φάος ἐν Οἰδίπου δόμοις κατ᾽ αὖ νιν φοινία θεῶν τῶν νερτέρων ἀμᾷ κόνις λόγου τ᾽ ἄνοια καὶ φρενῶν ἐρινύς,47
Χορός,τεάν Ζεῦ δύνασιν τίς ἀνδρῶν ὑπερβασία κατάσχοι τὰν οὔθ᾽ ὕπνος αἱρεῖ ποθ᾽ ὁ πάντ᾽ ἀγρεύων οὔτε θεῶν ἄκματοι μῆνες ἀγήρῳ δὲ χρόνῳ δυνάστας κατέχεις Ὀλύμπου μαρμαρόεσσαν αἴγλαν τό τ᾽ ἔπειτα καὶ τὸ μέλλον καὶ τὸ πρὶν ἐπαρκέσει νόμος ὅδ᾽ οὐδὲν ἕρπει θνατῶν βιότῳ πάμπολύ γ᾽ ἐκτὸς ἄτας,47
Χορός,ἁ γὰρ δὴ πολύπλαγκτος ἐλπὶς πολλοῖς μὲν ὄνασις ἀνδρῶν πολλοῖς δ᾽ ἀπάτα κουφονόων ἐρώτων εἰδότι δ᾽ οὐδὲν ἕρπει πρὶν πυρὶ θερμῷ πόδα τις προσαύσῃ σοφίᾳ γὰρ ἔκ του κλεινὸν ἔπος πέφανται τὸ κακὸν δοκεῖν ποτ᾽ ἐσθλὸν τῷδ᾽ ἔμμεν ὅτῳ φρένας θεὸς ἄγει πρὸς ἄταν,44
Χορός,πράσσει δ᾽ ὀλίγιστον χρόνον ἐκτὸς ἄτας,6
Χορός,ὅδε μὴν Αἵμων παίδων τῶν σῶν νέατον γέννημ᾽ ἆρ᾽ ἀχνύμενος τάλιδος ἥκει μόρον Ἀντιγόνης ἀπάτης λεχέων ὑπεραλγῶν,17
Κρέων,τάχ᾽ εἰσόμεσθα μάντεων ὑπέρτερον ὦ παῖ τελείαν ψῆφον ἆρα μὴ κλύων τῆς μελλονύμφου πατρὶ λυσσαίνων πάρει ἢ σοὶ μὲν ἡμεῖς πανταχῇ δρῶντες φίλοι,23
Αἵμων,πάτερ σός εἰμι καὶ σύ μοι γνώμας ἔχων χρηστὰς ἀπορθοῖς αἷς ἔγωγ᾽ ἐφέψομαι ἐμοὶ γὰρ οὐδεὶς ἀξιώσεται γάμος μείζων φέρεσθαι σοῦ καλῶς ἡγουμένου,23
Κρέων,οὕτω γάρ ὦ παῖ χρὴ διὰ στέρνων ἔχειν γνώμης πατρῴας πάντ᾽ ὄπισθεν ἑστάναι τούτου γὰρ οὕνεκ᾽ ἄνδρες εὔχονται γονὰς κατηκόους φύσαντες ἐν δόμοις ἔχειν ὡς καὶ τὸν ἐχθρὸν ἀνταμύνωνται κακοῖς καὶ τὸν φίλον τιμῶσιν ἐξ ἴσου πατρί ὅστις δ᾽ ἀνωφέλητα φιτύει τέκνα τί τόνδ᾽ ἂν εἴποις ἄλλο πλὴν αὑτῷ πόνους φῦσαι πολὺν δὲ τοῖσιν ἐχθροῖσιν γέλων μή νύν ποτ᾽ ὦ παῖ τὰς φρένας ὑφ᾽ ἡδονῆς γυναικὸς οὕνεκ᾽ ἐκβάλῃς εἰδὼς ὅτι ψυχρὸν παραγκάλισμα τοῦτο γίγνεται γυνὴ κακὴ ξύνευνος ἐν δόμοις τί γὰρ γένοιτ᾽ ἂν ἕλκος μεῖζον ἢ φίλος κακός ἀλλὰ πτύσας ὡσεί τε δυσμενῆ μέθες τὴν παῖδ᾽ ἐν Αἴδου τήνδε νυμφεύειν τινί ἐπεὶ γὰρ αὐτὴν εἷλον ἐμφανῶς ἐγὼ πόλεως ἀπιστήσασαν ἐκ πάσης μόνην ψευδῆ γ᾽ ἐμαυτὸν οὐ καταστήσω πόλει ἀλλὰ κτενῶ πρὸς ταῦτ᾽ ἐφυμνείτω Δία ξύναιμον εἰ γὰρ δὴ τά γ᾽ ἐγγενῆ φύσει ἄκοσμα θρέψω κάρτα τοὺς ἔξω γένους ἐν τοῖς γὰρ οἰκείοισιν ὅστις ἔστ᾽ ἀνὴρ χρηστός φανεῖται κἀν πόλει δίκαιος ὤν ὅστις δ᾽ ὑπερβὰς ἢ νόμους βιάζεται ἢ τοὐπιτάσσειν τοῖς κρατύνουσιν νοεῖ οὐκ ἔστ᾽ ἐπαίνου τοῦτον ἐξ ἐμοῦ τυχεῖν ἀλλ᾽ ὃν πόλις στήσειε τοῦδε χρὴ κλύειν καὶ σμικρὰ καὶ δίκαια καὶ τἀναντία καὶ τοῦτον ἂν τὸν ἄνδρα θαρσοίην ἐγὼ καλῶς μὲν ἄρχειν εὖ δ᾽ ἂν ἄρχεσθαι θέλειν δορός τ᾽ ἂν ἐν χειμῶνι προστεταγμένον μένειν δίκαιον κἀγαθὸν παραστάτην ἀναρχίας δὲ μεῖζον οὐκ ἔστιν κακόν αὕτη πόλεις ὄλλυσιν ἥδ᾽ ἀναστάτους οἴκους τίθησιν ἥδε συμμάχου δορὸς τροπὰς καταρρήγνυσι τῶν δ᾽ ὀρθουμένων σῴζει τὰ πολλὰ σώμαθ᾽ ἡ πειθαρχία οὕτως ἀμυντέ᾽ ἐστὶ τοῖς κοσμουμένοις κοὔτοι γυναικὸς οὐδαμῶς ἡσσητέα κρεῖσσον γάρ εἴπερ δεῖ πρὸς ἀνδρὸς ἐκπεσεῖν κοὐκ ἂν γυναικῶν ἥσσονες καλοίμεθ᾽ ἄν,256
Χορός,ἡμῖν μέν εἰ μὴ τῷ χρόνῳ κεκλέμμεθα λέγειν φρονούντως ὧν λέγεις δοκεῖς πέρι,13
Αἵμων,πάτερ θεοὶ φύουσιν ἀνθρώποις φρένας πάντων ὅσ᾽ ἐστὶ κτημάτων ὑπέρτατον ἐγὼ δ᾽ ὅπως σὺ μὴ λέγεις ὀρθῶς τάδε οὔτ᾽ ἂν δυναίμην μήτ᾽ ἐπισταίμην λέγειν γένοιτο μεντἂν χἀτέρῳ καλῶς ἔχον σοῦ δ᾽ οὖν πέφυκα πάντα προσκοπεῖν ὅσα λέγει τις ἢ πράσσει τις ἢ ψέγειν ἔχει τὸ γὰρ σὸν ὄμμα δεινὸν ἀνδρὶ δημότῃ λόγοις τοιούτοις οἷς σὺ μὴ τέρψει κλύων ἐμοὶ δ᾽ ἀκούειν ἔσθ᾽ ὑπὸ σκότου τάδε τὴν παῖδα ταύτην οἷ᾽ ὀδύρεται πόλις πασῶν γυναικῶν ὡς ἀναξιωτάτη κάκιστ᾽ ἀπ᾽ ἔργων εὐκλεεστάτων φθίνει ἥτις τὸν αὑτῆς αὐτάδελφον ἐν φοναῖς πεπτῶτ᾽ ἄθαπτον μήθ᾽ ὑπ᾽ ὠμηστῶν κυνῶν εἴασ᾽ ὀλέσθαι μήθ᾽ ὑπ᾽ οἰωνῶν τινος οὐχ ἥδε χρυσῆς ἀξία τιμῆς λαχεῖν τοιάδ᾽ ἐρεμνὴ σῖγ᾽ ἐπέρχεται φάτις ἐμοὶ δὲ σοῦ πράσσοντος εὐτυχῶς πάτερ οὐκ ἔστιν οὐδὲν κτῆμα τιμιώτερον τί γὰρ πατρὸς θάλλοντος εὐκλείας τέκνοις ἄγαλμα μεῖζον ἢ τί πρὸς παίδων πατρί μή νυν ἓν ἦθος μοῦνον ἐν σαυτῷ φόρει ὡς φὴς σύ κοὐδὲν ἄλλο τοῦτ᾽ ὀρθῶς ἔχειν ὅστις γὰρ αὐτὸς ἢ φρονεῖν μόνος δοκεῖ ἢ γλῶσσαν ἣν οὐκ ἄλλος ἢ ψυχὴν ἔχειν οὗτοι διαπτυχθέντες ὤφθησαν κενοί ἀλλ᾽ ἄνδρα κεἴ τις ᾖ σοφός τὸ μανθάνειν πόλλ᾽ αἰσχρὸν οὐδὲν καὶ τὸ μὴ τείνειν ἄγαν ὁρᾷς παρὰ ῥείθροισι χειμάρροις ὅσα δένδρων ὑπείκει κλῶνας ὡς ἐκσῴζεται τὰ δ᾽ ἀντιτείνοντ᾽ αὐτόπρεμν᾽ ἀπόλλυται αὕτως δὲ ναὸς ὅστις ἐγκρατῆ πόδα τείνας ὑπείκει μηδέν ὑπτίοις κάτω στρέψας τὸ λοιπὸν σέλμασιν ναυτίλλεται ἀλλ᾽ εἶκε καὶ θυμῷ μετάστασιν δίδου γνώμη γὰρ εἴ τις κἀπ᾽ ἐμοῦ νεωτέρου πρόσεστι φήμ᾽ ἔγωγε πρεσβεύειν πολὺ φῦναι τὸν ἄνδρα πάντ᾽ ἐπιστήμης πλέων εἰ δ᾽ οὖν φιλεῖ γὰρ τοῦτο μὴ ταύτῃ ῥέπειν καὶ τῶν λεγόντων εὖ καλὸν τὸ μανθάνειν,255
Χορός,ἄναξ σέ τ᾽ εἰκός εἴ τι καίριον λέγει μαθεῖν σέ τ᾽ αὖ τοῦδ᾽ εὖ γὰρ εἴρηται διπλῇ,17
Κρέων,οἱ τηλικοίδε καὶ διδαξόμεσθα δὴ φρονεῖν ὑπ᾽ ἀνδρὸς τηλικοῦδε τὴν φύσιν,11
Αἵμων,μηδὲν τὸ μὴ δίκαιον εἰ δ᾽ ἐγὼ νέος οὐ τὸν χρόνον χρὴ μᾶλλον ἢ τἄργα σκοπεῖν,16
Κρέων,ἔργον γάρ ἐστι τοὺς ἀκοσμοῦντας σέβειν,6
Αἵμων,οὐδ᾽ ἂν κελεύσαιμ᾽ εὐσεβεῖν εἰς τοὺς κακούς,7
Κρέων,οὐχ ἥδε γὰρ τοιᾷδ᾽ ἐπείληπται νόσῳ,6
Αἵμων,οὔ φησι Θήβης τῆσδ᾽ ὁμόπτολις λεώς,6
Κρέων,πόλις γὰρ ἡμῖν ἁμὲ χρὴ τάσσειν ἐρεῖ,7
Αἵμων,ὁρᾷς τόδ᾽ ὡς εἴρηκας ὡς ἄγαν νέος,7
Κρέων,ἄλλῳ γὰρ ἢ μοὶ χρή με τῆσδ᾽ ἄρχειν χθονός,9
Αἵμων,πόλις γὰρ οὐκ ἔσθ᾽ ἥτις ἀνδρός ἐσθ᾽ ἑνός,8
Κρέων,οὐ τοῦ κρατοῦντος ἡ πόλις νομίζεται,6
Αἵμων,καλῶς γ᾽ ἐρήμης ἂν σὺ γῆς ἄρχοις μόνος,8
Κρέων,ὅδ᾽ ὡς ἔοικε τῇ γυναικὶ συμμαχεῖ,6
